PurchaseDate,StoreID,StoreLocation,PaymentMethod,DiscountApplied,DiscountPercent,ProductCost,Profit,FootTraffic,InventoryLevel,MarketingExpenditure,CompetitorPrice
25-09-2021,93,Houston,Online Transfer,FALSE,0,991.35,0,917,96,4036.84,1029.38
25-01-2022,73,Philadelphia,Debit Card,TRUE,3,706.8,21.860000000000014,763,38,9428.49,784.48
19-02-2022,17,Dallas,Mobile Payment,FALSE,0,830.95,0,902,68,3724.37,762.46
02-07-2021,54,San Diego,Cash,TRUE,14,92.3,15.030000000000001,379,66,984.96,104.73
28-04-2023,32,Philadelphia,Mobile Payment,FALSE,0,63.61,0,380,3,7807.66,59.44
31-03-2021,66,San Diego,Cash,FALSE,0,321.59,0,374,61,9572.98,275.44
24-11-2021,31,Dallas,Online Transfer,TRUE,20,344.06,86.00999999999999,685,21,8377.64,488.99
05-05-2023,86,Chicago,Cash,FALSE,0,401.87,0,895,56,2083.24,410.26
02-05-2023,44,Phoenix,Online Transfer,TRUE,25,493.78,164.59000000000003,424,100,3254.38,616.44
17-08-2020,25,New York,Mobile Payment,TRUE,24,221.67,70.00000000000003,704,46,628.74,289.95
31-08-2022,23,San Jose,Debit Card,TRUE,2,930.32,18.989999999999895,299,54,9765.02,990.06
10-06-2022,84,Dallas,Credit Card,TRUE,6,766.53,48.930000000000064,272,16,676.49,662.83
11-03-2023,59,Philadelphia,Debit Card,TRUE,30,561.18,240.5100000000001,942,7,2559.87,725.1
23-06-2022,92,Los Angeles,Credit Card,FALSE,0,700.58,0,296,81,9181.74,804.58
22-11-2021,61,Phoenix,Online Transfer,TRUE,29,359.42,146.8,141,67,2166.04,523.47
09-08-2021,23,Chicago,Debit Card,FALSE,0,779.79,0,533,49,9829.61,904.94
27-01-2021,23,San Antonio,Credit Card,FALSE,0,540.73,0,632,68,2120.2,484.33
09-02-2022,96,Houston,Debit Card,FALSE,0,423.51,0,682,4,6706.25,395.63
15-01-2023,29,San Jose,Mobile Payment,TRUE,3,218.29,6.75,410,95,6426.78,202.52
09-11-2022,76,Los Angeles,Debit Card,TRUE,5,553.85,29.149999999999977,204,35,4790.53,541.02
10-02-2023,12,Los Angeles,Mobile Payment,TRUE,26,638.89,224.48000000000002,185,87,7599.36,1027.01
09-08-2021,13,San Jose,Cash,TRUE,26,620.68,218.08000000000004,150,25,4858.69,785.91
10-09-2022,21,Dallas,Cash,TRUE,9,590.61,58.40999999999997,300,17,1987.57,587.1
05-07-2022,13,San Jose,Credit Card,TRUE,2,399.51,8.150000000000034,479,50,6166.51,330.45
03-08-2022,19,Philadelphia,Credit Card,FALSE,0,813.69,0,575,25,5299.13,877.9
22-02-2021,98,New York,Debit Card,FALSE,0,45.04,0,591,37,924.8,39.36
11-04-2022,26,San Jose,Cash,TRUE,8,281.23,24.44999999999999,172,25,4685.51,360.89
19-07-2020,90,New York,Debit Card,TRUE,8,864.05,75.14,895,75,9348.56,1067.53
04-05-2021,42,San Diego,Mobile Payment,TRUE,15,484.87,85.57000000000005,873,34,797.14,465.59
25-02-2023,36,Phoenix,Mobile Payment,TRUE,20,595.75,148.94000000000005,369,12,1010.62,692.25
01-09-2022,98,San Jose,Debit Card,TRUE,0,85.39,0,786,77,5845.87,83.08
22-08-2021,73,Dallas,Online Transfer,FALSE,0,25.61,0,498,37,9256.69,21.89
20-09-2021,50,Dallas,Mobile Payment,TRUE,14,272.08,44.29000000000002,879,42,9462.19,374.21
13-02-2023,29,San Antonio,Cash,FALSE,0,202.79,0,779,45,4147.86,182.19
12-05-2023,53,Dallas,Credit Card,TRUE,7,890.6,67.02999999999997,860,21,1459.7,914.72
26-07-2020,75,Houston,Online Transfer,FALSE,0,532.07,0,568,29,946.82,509.8
17-10-2021,23,San Jose,Credit Card,FALSE,0,922.24,0,530,29,2744.68,771.39
27-04-2023,66,New York,Online Transfer,TRUE,28,391.05,152.07999999999998,254,27,6223.26,478.67
30-05-2022,66,Philadelphia,Credit Card,TRUE,26,251.35,88.31000000000003,375,62,7874.39,293.87
24-01-2023,9,New York,Debit Card,FALSE,0,957.58,0,937,19,9062.6,1049.33
11-09-2022,95,Houston,Cash,TRUE,19,313.02,73.42000000000002,631,0,3922.19,314.79
24-04-2021,34,San Jose,Mobile Payment,FALSE,0,47.58,0,950,96,9838.13,55.92
18-06-2023,99,Houston,Debit Card,TRUE,24,79.88,25.230000000000004,546,25,3259.61,113.51
25-11-2022,98,San Diego,Debit Card,FALSE,0,496.97,0,981,74,9318.96,482.28
06-11-2020,85,San Antonio,Online Transfer,TRUE,25,244.28,81.42999999999998,517,66,1902.85,377.58
18-10-2022,55,New York,Credit Card,TRUE,18,169.83,37.28,82,39,1289.98,213.75
24-04-2022,99,San Jose,Online Transfer,FALSE,0,212.55,0,268,72,782.21,235.2
15-02-2023,11,Philadelphia,Cash,FALSE,0,236.61,0,708,72,8593.13,195.29
25-01-2023,43,Phoenix,Debit Card,FALSE,0,769.67,0,848,7,3071.41,885.43
21-05-2022,74,Houston,Credit Card,TRUE,15,524.72,92.60000000000002,207,46,2580,723.78
25-03-2021,53,New York,Cash,FALSE,0,505.18,0,470,69,581.38,470.65
01-04-2021,90,San Antonio,Debit Card,TRUE,17,493.89,101.15999999999997,623,57,779.57,546.16
06-12-2022,18,San Diego,Debit Card,TRUE,24,311.19,98.26999999999998,519,43,6903.73,332.72
25-03-2023,15,New York,Online Transfer,FALSE,0,876.67,0,393,48,6662.69,863.34
23-04-2023,96,San Diego,Cash,TRUE,5,532.47,28.019999999999982,138,59,2047.37,497.51
25-07-2020,42,Dallas,Mobile Payment,FALSE,0,52.51,0,623,89,8023.16,54.83
28-05-2021,63,San Antonio,Credit Card,TRUE,9,497.01,49.14999999999998,792,9,4055.43,450.21
14-11-2022,63,Dallas,Online Transfer,FALSE,0,554.99,0,418,73,8308.89,463.54
24-07-2022,69,Chicago,Online Transfer,TRUE,26,505.41,177.57999999999998,581,84,6934.45,641.27
08-07-2021,14,Dallas,Cash,FALSE,0,99.86,0,995,80,5502.9,101.97
01-12-2020,40,Los Angeles,Mobile Payment,TRUE,29,156.06,63.74000000000001,298,65,4391.21,199.09
30-12-2021,98,Houston,Mobile Payment,FALSE,0,573.82,0,313,85,1751.74,620.8
05-09-2020,60,New York,Credit Card,FALSE,0,571.65,0,865,51,9784.46,617.2
26-04-2021,72,San Antonio,Debit Card,FALSE,0,302.48,0,555,36,8994.19,244.64
29-10-2020,42,San Antonio,Mobile Payment,FALSE,0,903.17,0,791,49,5596.41,861.02
06-10-2021,19,New York,Online Transfer,TRUE,19,405.61,95.13999999999999,853,85,6313.45,586.55
15-07-2022,72,San Jose,Online Transfer,FALSE,0,792,0,76,12,3016.73,677.15
06-03-2021,30,Phoenix,Credit Card,FALSE,0,984.48,0,692,5,320.84,988.88
07-02-2022,68,Los Angeles,Online Transfer,TRUE,30,41.54,17.800000000000004,285,85,3573.49,63.42
31-01-2022,59,San Jose,Online Transfer,FALSE,0,352.95,0,401,70,8331.01,366.58
12-11-2021,39,Phoenix,Cash,TRUE,20,784.68,196.17000000000007,594,71,9167.8,1036.07
03-12-2021,56,Los Angeles,Credit Card,FALSE,0,718.37,0,71,90,172.89,846.37
24-01-2022,98,Chicago,Online Transfer,TRUE,12,478.16,65.19999999999999,608,82,4531.12,547.72
23-04-2023,82,New York,Online Transfer,FALSE,0,738.13,0,981,19,1207.63,764.71
27-07-2021,67,New York,Credit Card,FALSE,0,85.85,0,680,69,9945,89.71
18-05-2021,98,Dallas,Cash,FALSE,0,774.66,0,877,10,9999.73,903.16
25-10-2021,30,San Jose,Debit Card,FALSE,0,428.53,0,173,74,1180.23,450.56
24-11-2022,22,Los Angeles,Debit Card,TRUE,22,502.42,141.70999999999998,78,10,6282.72,560.68
28-02-2023,81,Dallas,Mobile Payment,FALSE,0,254.21,0,809,44,7443.82,260.75
21-05-2021,88,Houston,Debit Card,FALSE,0,746.09,0,338,67,8781.47,789.66
06-09-2021,14,Los Angeles,Credit Card,TRUE,7,908.37,68.37,677,30,6296.42,1037.79
05-03-2021,40,San Jose,Credit Card,TRUE,9,523.74,51.799999999999955,896,31,1440.72,575.21
06-08-2020,65,Los Angeles,Online Transfer,TRUE,24,196.12,61.93000000000001,170,48,2363.24,277.49
05-12-2020,60,Dallas,Mobile Payment,TRUE,23,19.38,5.790000000000003,892,72,4117,29.03
19-01-2023,5,Phoenix,Credit Card,FALSE,0,244.41,0,395,32,4212.78,203.11
22-01-2021,95,San Antonio,Credit Card,TRUE,11,600.36,74.19999999999993,282,22,971.08,663.31
08-11-2022,50,San Diego,Cash,TRUE,18,367.29,80.62,282,75,9705.81,372.51
24-12-2020,51,Los Angeles,Cash,FALSE,0,831.11,0,963,82,9286.56,744.01
13-12-2020,28,Phoenix,Online Transfer,TRUE,25,496.77,165.59000000000003,602,62,538.71,631.06
03-01-2021,90,San Antonio,Cash,FALSE,0,889.54,0,725,41,422.28,767.74
06-02-2023,47,Phoenix,Online Transfer,TRUE,17,798.25,163.5,177,4,6551.8,1087.78
31-10-2020,51,Phoenix,Debit Card,FALSE,0,468.66,0,987,13,8963.19,420.75
06-02-2021,45,Phoenix,Cash,FALSE,0,795.89,0,828,9,8877.96,716.34
07-10-2020,29,San Jose,Online Transfer,TRUE,7,818.1,61.57999999999993,723,90,6535.46,916.44
28-04-2022,37,Dallas,Credit Card,TRUE,1,793.15,8.009999999999991,522,2,2125.39,773.15
25-10-2022,3,San Diego,Mobile Payment,FALSE,0,236.1,0,782,61,3209.24,280.91
07-10-2022,7,Phoenix,Debit Card,TRUE,23,122.84,36.69,735,82,6739.71,172.45
25-06-2022,71,San Diego,Credit Card,TRUE,4,883.04,36.79000000000008,317,5,667.29,751.81
06-11-2021,85,Houston,Cash,FALSE,0,594.45,0,600,3,9382.97,476.46
19-05-2021,65,San Diego,Online Transfer,TRUE,20,239.72,59.92999999999998,802,65,5211.36,310.67
20-12-2021,31,Dallas,Credit Card,TRUE,22,584.13,164.76,963,78,7886.66,710
08-08-2022,69,Los Angeles,Credit Card,TRUE,3,936,28.950000000000045,607,26,8306.85,1073.71
11-08-2020,52,San Jose,Online Transfer,TRUE,3,163.98,5.070000000000022,325,43,4916.87,172.61
06-10-2021,46,Dallas,Cash,FALSE,0,390.37,0,803,26,4200.67,456.63
17-08-2021,99,Dallas,Credit Card,FALSE,0,178.61,0,378,32,9444.03,208.03
18-09-2021,98,Chicago,Mobile Payment,TRUE,20,587.92,146.98000000000002,238,11,143.44,709.65
28-01-2022,34,San Antonio,Cash,TRUE,30,371.85,159.36,136,5,9152.81,480.54
07-12-2020,30,Chicago,Debit Card,TRUE,12,20.7,2.8200000000000003,55,0,7323.06,25.84
27-01-2023,11,Phoenix,Credit Card,TRUE,24,678.35,214.22000000000003,683,37,8259.57,1039.42
20-02-2021,39,San Antonio,Credit Card,TRUE,21,600.98,159.75,516,90,8162.24,639.58
21-01-2022,9,Phoenix,Credit Card,FALSE,0,758.94,0,510,72,7967.25,860.82
12-07-2021,75,Philadelphia,Mobile Payment,TRUE,27,511.05,189.02000000000004,151,87,8362.28,597.93
01-11-2021,70,Phoenix,Mobile Payment,TRUE,14,445.33,72.49000000000007,431,35,1194.87,467.11
22-04-2021,26,Phoenix,Mobile Payment,TRUE,14,173.2,28.200000000000017,69,45,8721.39,167.95
19-03-2021,95,San Diego,Debit Card,TRUE,3,886.35,27.409999999999968,995,59,866.5,812.87
12-05-2021,88,Dallas,Credit Card,TRUE,12,313.49,42.75,542,68,7383.84,391.83
26-02-2022,72,Philadelphia,Cash,FALSE,0,81.12,0,146,53,6448.04,73.37
18-01-2023,63,Dallas,Credit Card,TRUE,4,196.62,8.189999999999998,82,86,2910.51,178.93
11-02-2023,1,Los Angeles,Cash,FALSE,0,60.93,0,325,5,1295.78,71.7
17-01-2021,68,Phoenix,Online Transfer,FALSE,0,894.68,0,195,40,1733.49,968.2
15-03-2021,72,Chicago,Mobile Payment,FALSE,0,622.74,0,707,68,4829.9,702.47
10-04-2022,83,Phoenix,Credit Card,TRUE,30,260.06,111.44999999999999,137,5,4218.41,347.94
20-03-2023,60,Dallas,Online Transfer,FALSE,0,414.76,0,659,90,5155.82,469.6
11-11-2020,44,San Jose,Cash,FALSE,0,773.33,0,628,22,4000.99,820.2
28-06-2023,92,Chicago,Cash,FALSE,0,823.12,0,962,40,422.22,781.71
25-07-2020,16,Chicago,Debit Card,TRUE,14,399.16,64.97999999999996,295,51,7900.82,442.21
11-12-2022,16,Phoenix,Online Transfer,TRUE,25,125.72,41.91,297,66,4364.36,169.8
03-03-2022,50,Chicago,Credit Card,FALSE,0,838.83,0,595,91,1344.21,676.05
15-08-2021,89,New York,Credit Card,FALSE,0,350.66,0,94,47,9643.95,404.91
20-10-2020,39,San Antonio,Mobile Payment,FALSE,0,817.47,0,57,1,211.14,895.51
16-01-2022,84,Phoenix,Online Transfer,FALSE,0,402.51,0,837,24,9559.39,480.09
07-08-2020,78,Houston,Mobile Payment,TRUE,18,386.96,84.94,242,12,8340.06,438.5
19-05-2023,83,Chicago,Cash,FALSE,0,729.69,0,282,19,4592.27,630.72
13-01-2022,95,Los Angeles,Credit Card,TRUE,0,231.86,0,358,8,3154.97,263.41
09-02-2022,75,Chicago,Online Transfer,TRUE,21,787.21,209.26,402,22,5804.96,1143.26
13-10-2022,62,Houston,Debit Card,TRUE,4,732.23,30.50999999999999,245,48,8728.2,819.4
11-01-2023,54,Philadelphia,Mobile Payment,FALSE,0,979.54,0,942,12,8755.89,1157.64
04-10-2021,63,Chicago,Cash,FALSE,0,677.56,0,650,20,9890.11,645.82
16-02-2022,100,San Antonio,Cash,FALSE,0,109.2,0,389,80,9896.66,90.33
20-06-2022,61,Dallas,Debit Card,FALSE,0,172.03,0,97,61,7262.17,203.14
11-03-2022,95,Los Angeles,Debit Card,TRUE,24,695.66,219.68000000000006,765,83,8834.39,829.38
20-03-2021,46,San Antonio,Cash,FALSE,0,336.85,0,102,61,8922.93,326.92
24-01-2023,32,San Jose,Mobile Payment,TRUE,28,161.22,62.69999999999999,686,14,8701.88,241.61
25-09-2022,89,Houston,Debit Card,FALSE,0,610.8,0,69,83,3758.47,604.44
11-02-2021,68,Dallas,Credit Card,FALSE,0,490.8,0,880,5,2875.61,573.48
17-06-2021,51,San Diego,Mobile Payment,TRUE,1,808.11,8.159999999999968,298,7,254.04,706.73
01-04-2022,36,San Antonio,Cash,FALSE,0,881.56,0,60,94,2349.78,779.56
06-09-2021,56,Houston,Credit Card,TRUE,5,898.07,47.26999999999998,348,97,1648.95,1028.3
02-08-2020,23,New York,Credit Card,FALSE,0,498.16,0,87,26,9436.15,399.01
04-09-2021,36,Chicago,Mobile Payment,TRUE,4,517.27,21.550000000000068,721,46,208.82,462.58
16-10-2020,74,Philadelphia,Debit Card,TRUE,10,228.83,25.42999999999998,81,66,425.89,279.95
06-10-2022,4,San Jose,Online Transfer,FALSE,0,47.07,0,697,58,1024.28,43.04
15-04-2021,93,Chicago,Credit Card,TRUE,15,296.7,52.360000000000014,918,63,1453.94,305.13
15-05-2022,74,Chicago,Mobile Payment,TRUE,26,56.57,19.880000000000003,368,58,5948.17,64.57
16-10-2022,89,Chicago,Online Transfer,FALSE,0,781.77,0,925,89,1116.96,698.36
28-03-2023,71,Dallas,Online Transfer,TRUE,28,276.12,107.38,589,57,6429.67,378.92
04-03-2021,83,Chicago,Cash,TRUE,8,71.6,6.230000000000004,199,30,5842.36,66.2
26-10-2021,83,San Diego,Debit Card,TRUE,12,229.68,31.319999999999993,871,0,1120.92,303.93
24-01-2021,62,New York,Online Transfer,TRUE,15,234.75,41.43000000000001,364,22,3401.26,232.33
17-01-2021,74,Los Angeles,Mobile Payment,TRUE,30,121.3,51.980000000000004,913,25,1815.35,188.99
06-08-2021,39,Dallas,Online Transfer,TRUE,6,674.83,43.069999999999936,453,64,9813.38,690.81
07-08-2021,75,San Jose,Debit Card,TRUE,9,609.37,60.26999999999998,767,87,7517.25,613.64
04-07-2022,52,New York,Online Transfer,TRUE,15,772.27,136.27999999999997,985,65,6057.14,839.47
15-04-2021,64,Los Angeles,Cash,TRUE,8,315.17,27.409999999999968,75,87,3211.19,317.71
04-04-2023,30,Phoenix,Mobile Payment,FALSE,0,574.32,0,887,14,8339.52,476.92
09-02-2021,84,Los Angeles,Credit Card,FALSE,0,476.83,0,376,26,1971.49,431.38
17-07-2021,33,San Diego,Debit Card,FALSE,0,121.62,0,487,49,9271.99,131.32
04-02-2023,16,San Diego,Debit Card,TRUE,14,258.21,42.03000000000003,774,63,192.98,246.19
12-12-2021,37,San Jose,Cash,TRUE,17,767.21,157.14,250,55,3081.95,948.61
06-11-2022,86,Los Angeles,Debit Card,TRUE,29,144.7,59.10000000000002,840,45,2970.77,202.64
18-10-2022,45,San Antonio,Online Transfer,TRUE,10,511.67,56.849999999999966,905,82,5469.58,589.74
24-04-2023,83,New York,Cash,FALSE,0,388.57,0,194,67,1211.52,325.67
14-07-2020,29,Phoenix,Credit Card,FALSE,0,781.94,0,472,14,1413.47,784.54
08-05-2021,9,San Antonio,Cash,TRUE,12,256.14,34.93000000000001,885,11,3831.75,271.59
29-08-2021,82,Houston,Cash,FALSE,0,654.61,0,684,100,8745.45,625.92
29-03-2023,12,Philadelphia,Debit Card,TRUE,4,880.08,36.66999999999996,784,53,4618.17,928.35
08-11-2021,80,Chicago,Online Transfer,TRUE,3,346.87,10.730000000000018,725,2,1903.54,427.63
11-02-2021,59,Los Angeles,Cash,TRUE,6,600.32,38.319999999999936,402,68,9965.51,747.21
30-05-2022,85,Houston,Credit Card,TRUE,9,224.14,22.170000000000016,369,57,7271.97,287.7
04-09-2022,64,Houston,Cash,TRUE,22,509.21,143.62000000000006,759,95,5640.09,564.56
22-05-2022,42,San Diego,Online Transfer,TRUE,13,695.81,103.97000000000003,117,67,8686.38,956.59
12-06-2021,64,Philadelphia,Mobile Payment,TRUE,30,505.01,216.43000000000006,725,70,2372.62,581.18
24-06-2023,54,Phoenix,Online Transfer,TRUE,8,669.08,58.17999999999995,101,69,815.86,685.6
17-11-2020,6,San Antonio,Cash,TRUE,2,798.01,16.289999999999964,131,58,7869.51,944.8
24-02-2021,37,San Jose,Online Transfer,FALSE,0,396.66,0,571,24,5174.89,453.33
22-05-2022,87,San Diego,Mobile Payment,FALSE,0,395.39,0,699,20,6395.42,423.56
27-09-2022,51,San Antonio,Mobile Payment,FALSE,0,356.33,0,449,14,5722.77,349.97
04-07-2022,78,San Jose,Cash,FALSE,0,994.78,0,740,62,8057.7,964.45
03-12-2021,31,Dallas,Mobile Payment,FALSE,0,189.12,0,405,80,4169.94,174
14-12-2021,87,Houston,Debit Card,FALSE,0,897.41,0,715,87,5475.27,907.6
04-02-2023,27,Philadelphia,Online Transfer,FALSE,0,292.29,0,410,88,6146.14,339.86
20-08-2020,49,Los Angeles,Debit Card,FALSE,0,408.68,0,923,83,5800.8,358.83
22-01-2022,33,Houston,Cash,TRUE,8,428.6,37.26999999999998,946,78,7200,392.14
01-10-2021,56,Los Angeles,Debit Card,FALSE,0,654.58,0,247,86,8779.69,669.59
01-04-2021,10,New York,Debit Card,TRUE,30,446.14,191.20000000000005,529,33,3061.01,762.96
23-11-2022,42,San Jose,Cash,TRUE,3,732.5,22.649999999999977,906,91,9825.52,606.16
17-08-2022,81,Houston,Online Transfer,TRUE,4,194.98,8.120000000000005,284,0,2899.87,229.28
17-03-2022,27,Chicago,Mobile Payment,TRUE,10,125.99,14.000000000000014,139,54,5348.67,113.96
08-10-2020,94,New York,Debit Card,TRUE,3,428.16,13.239999999999952,694,60,8305.79,450.38
16-01-2022,24,Dallas,Debit Card,FALSE,0,379.25,0,653,16,9038.28,443.89
20-04-2023,82,San Diego,Mobile Payment,TRUE,20,493.06,123.26000000000005,831,29,3886.69,683.18
28-07-2022,92,San Jose,Credit Card,FALSE,0,356.54,0,573,19,2820.65,336.29
18-11-2021,62,Los Angeles,Debit Card,FALSE,0,954.76,0,345,92,8266.9,990.2
04-01-2021,80,San Diego,Debit Card,TRUE,1,608.29,6.139999999999986,550,90,1091.05,522.19
11-01-2022,89,San Antonio,Online Transfer,TRUE,21,603.95,160.53999999999996,218,89,2387.41,760.71
26-10-2020,94,Phoenix,Credit Card,FALSE,0,987.4,0,978,50,8416.72,1106.34
09-12-2022,78,San Diego,Credit Card,FALSE,0,148.24,0,548,51,3264.19,174.58
30-03-2022,86,New York,Cash,FALSE,0,442.86,0,151,18,8260.11,370.9
03-10-2022,17,Chicago,Debit Card,TRUE,27,520.54,192.5300000000001,593,55,9384.76,570.75
21-04-2023,53,Dallas,Cash,FALSE,0,294.67,0,263,29,3491.98,352.97
28-05-2023,11,Dallas,Debit Card,TRUE,20,309.46,77.36000000000001,907,84,3602.52,389.09
24-03-2022,65,Philadelphia,Mobile Payment,TRUE,4,744.59,31.019999999999982,767,93,7559.46,754.32
27-01-2022,36,Chicago,Credit Card,FALSE,0,962.32,0,259,84,5788.39,929.57
12-10-2021,17,San Jose,Credit Card,TRUE,10,74.31,8.259999999999991,478,61,4297.32,92.46
25-06-2021,50,Phoenix,Online Transfer,TRUE,15,113.96,20.11,832,60,1014.89,120.32
27-04-2022,5,New York,Mobile Payment,FALSE,0,363.81,0,333,50,2573.12,397.55
22-05-2022,86,New York,Online Transfer,FALSE,0,576.28,0,921,69,1248.75,482.29
27-04-2023,55,Chicago,Cash,FALSE,0,574.68,0,892,22,7386.24,565.2
07-01-2021,83,Phoenix,Online Transfer,TRUE,9,424.34,41.97000000000003,869,58,3769.52,540.45
19-09-2020,16,Dallas,Cash,TRUE,24,702.19,221.7399999999999,314,8,2470.96,948.07
05-04-2022,98,Philadelphia,Online Transfer,FALSE,0,688.6,0,115,41,7432.91,813.5
04-07-2022,27,Los Angeles,Debit Card,TRUE,27,352.32,130.31,374,10,4092.44,486.29
13-08-2020,5,Los Angeles,Debit Card,TRUE,11,256.79,31.739999999999952,987,74,4089.53,319.14
17-08-2021,60,Dallas,Online Transfer,FALSE,0,981.6,0,374,73,944.76,913.28
12-01-2022,26,Houston,Mobile Payment,TRUE,9,686.59,67.89999999999998,60,17,5824.42,655.62
25-07-2020,98,San Diego,Cash,TRUE,29,292.47,119.45999999999998,333,88,2909.87,440.79
19-01-2021,24,Chicago,Credit Card,TRUE,19,790.36,185.39,926,13,6150.64,912.32
29-08-2021,1,San Diego,Mobile Payment,FALSE,0,63.92,0,633,26,8053.05,65.11
24-07-2020,3,Chicago,Mobile Payment,FALSE,0,707.8,0,485,58,4644.69,770.3
10-05-2023,92,Philadelphia,Mobile Payment,TRUE,9,46.57,4.609999999999999,355,61,7334.48,44.02
19-04-2021,93,Chicago,Online Transfer,FALSE,0,81.27,0,278,97,4640.87,76.36
01-09-2022,76,Houston,Debit Card,TRUE,30,659.28,282.55000000000007,201,9,861.03,943.41
24-07-2021,57,Philadelphia,Credit Card,FALSE,0,96.21,0,651,15,6555.35,92.56
09-10-2022,17,New York,Cash,TRUE,19,585.25,137.27999999999997,890,66,5348.14,822.19
15-07-2021,2,Los Angeles,Mobile Payment,TRUE,26,516.21,181.37,681,100,4734.61,577.11
27-01-2023,78,San Antonio,Online Transfer,FALSE,0,817.47,0,133,37,2468.95,757.53
28-08-2020,59,Chicago,Debit Card,TRUE,10,324.79,36.089999999999975,927,90,3799.56,334.44
29-11-2021,47,Houston,Credit Card,FALSE,0,484.99,0,144,77,4523.06,543.24
15-05-2023,46,Houston,Credit Card,FALSE,0,279.24,0,981,26,4226.84,299.47
08-08-2020,72,San Jose,Online Transfer,FALSE,0,685.86,0,306,22,6526.28,654.35
04-08-2020,48,Los Angeles,Online Transfer,FALSE,0,522.35,0,62,92,2704.33,466.82
14-08-2022,16,Los Angeles,Online Transfer,TRUE,5,289.72,15.25,798,46,6710.89,346.5
16-08-2020,23,Phoenix,Cash,TRUE,29,375.51,153.38,866,57,4522.77,450.67
01-01-2021,18,San Antonio,Credit Card,FALSE,0,564.76,0,934,33,6502.29,611.23
05-06-2021,45,Los Angeles,Online Transfer,FALSE,0,127.43,0,752,3,2318.92,106.12
20-04-2023,32,San Antonio,Cash,TRUE,23,424.35,126.75,411,4,5228.71,626.98
28-02-2021,42,San Jose,Mobile Payment,TRUE,17,774.46,158.63,612,58,1581.44,983.37
05-10-2022,50,Phoenix,Cash,FALSE,0,791.55,0,588,40,2771.9,748.64
12-02-2021,18,San Antonio,Mobile Payment,FALSE,0,209.91,0,610,27,2394.35,177.81
28-09-2021,100,San Antonio,Mobile Payment,TRUE,18,281.51,61.80000000000001,977,42,4155.36,368.06
18-08-2021,88,Los Angeles,Debit Card,FALSE,0,994.75,0,484,87,5946.54,1172.96
18-06-2022,57,Dallas,Cash,TRUE,21,634.3,168.61,925,32,6160.43,951.96
08-01-2021,78,Phoenix,Credit Card,TRUE,27,11.26,4.17,172,44,9443.16,13.41
29-04-2021,40,Phoenix,Credit Card,TRUE,12,423.05,57.69,498,14,972.61,466.36
22-08-2021,87,New York,Mobile Payment,FALSE,0,27.92,0,640,4,2193.51,27.85
03-03-2022,80,Los Angeles,Credit Card,FALSE,0,649.93,0,334,63,8006.62,750.88
30-05-2021,6,Dallas,Online Transfer,FALSE,0,719.97,0,256,77,1959.76,752.68
26-08-2020,33,San Jose,Cash,TRUE,28,262.27,102,313,41,4928.55,338
09-02-2021,6,Dallas,Mobile Payment,FALSE,0,372.75,0,566,26,7360.1,412.96
26-06-2022,85,San Diego,Cash,FALSE,0,51.04,0,52,87,5983.3,51.67
18-08-2021,14,Chicago,Cash,TRUE,6,201.88,12.890000000000015,770,10,9855.17,242.09
02-11-2020,45,Chicago,Debit Card,TRUE,21,153.28,40.74000000000001,71,66,4960.86,210.05
